Componente,sigma_X,q_EOQ,q_exacto,Dif_q_Pct,TC_EOQ,TC_exacto,Dif_TC_Pct,Cumple_Brown,Iteraciones
Motor de Alto Rendimiento V8,8.1763,13.6361,17.3574,27.29,57406.7804,56707.3176,-1.2184,True,14
Motor de Cilindros en Línea Raro,7.2224,9.3331,12.6583,35.6288,62243.5966,61224.6195,-1.6371,True,16
Carrocería Artesanal de Época,6.5931,8.3478,11.4553,37.2255,69657.0427,68430.3468,-1.7611,True,16
Carrocería Estándar (Fibra),6.676,16.0456,18.8761,17.6403,40785.4066,40514.5436,-0.6641,True,12
Tapicería de Cuero Premium,15.3383,26.0709,32.147,23.3059,52322.3277,51870.875,-0.8628,True,14
