Componente,q,r_A,r_B,SS_A,SS_B,P_Agot_A,P_Agot_B,SLM1_A,SLM1_B,TC_A,TC_B,Diferencia,Diferencia_Pct
Motor de Alto Rendimiento V8,13.7195,73.8253,72.8915,8.6707,7.7369,0.0326,0.05,0.9956,0.9928,43620.1138,44041.5063,421.3925,0.9661
Motor de Cilindros en Línea Raro,9.3901,89.3612,88.2254,7.97,6.8342,0.0275,0.05,0.9953,0.9908,45481.0954,46502.8458,1021.7504,2.2465
Carrocería Artesanal de Época,8.3988,74.916,74.0648,7.09,6.2388,0.0308,0.05,0.9946,0.9906,50888.8221,51633.1134,744.2913,1.4626
Carrocería Estándar (Fibra),16.1437,50.7918,49.7536,7.3554,6.3172,0.0277,0.05,0.9975,0.995,32461.6022,32960.0967,498.4946,1.5356
Tapicería de Cuero Premium,26.2303,160.693,155.6476,19.5594,14.514,0.0133,0.05,0.9984,0.993,39100.8921,43664.6107,4563.7186,11.6716
