Politica,Escenario,Stock_Seguridad,Costo_Almacenamiento,Costo_Deficit,TC,SS_Var_Pct,TC_Var_Pct,Delta_TC
A,Base,87.9222,197833.5637,27729.7021,282415.154,0.0,0.0,0.0
B,Base,72.3836,176564.072,61395.0279,294810.9882,0.0,0.0,0.0
A,+15%,101.1105,218980.815,31889.1574,307721.8607,15.0,8.9608,25306.7066
B,+15%,83.2411,194520.8996,70604.2821,321977.07,15.0,9.2147,27166.0818
A,sigma de validacion,121.7166,252022.2205,38388.0753,347262.184,38.4367,22.9616,64847.03
B,sigma de validacion,100.2054,222577.4452,84993.2302,364422.5637,38.4367,23.6123,69611.5754
